Id,ActivityDate,TotalSteps,Calories,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1503960366,3/25/2016,11004,1819,7.110000134,7.110000134,0,2.569999933,0.4600000083,4.070000172,0,33,12,205,804
1503960366,3/26/2016,17609,2154,11.55000019,11.55000019,0,6.920000076,0.7300000191,3.910000086,0,89,17,274,588
1503960366,3/27/2016,12736,1944,8.529999733,8.529999733,0,4.659999847,0.1599999964,3.710000038,0,56,5,268,605
1503960366,3/28/2016,13231,1932,8.930000305,8.930000305,0,3.190000057,0.7900000215,4.949999809,0,39,20,224,1080
1503960366,3/29/2016,12041,1886,7.849999905,7.849999905,0,2.160000086,1.090000033,4.610000134,0,28,28,243,763
1503960366,3/30/2016,10970,1820,7.159999847,7.159999847,0,2.359999895,0.5099999905,4.289999962,0,30,13,223,1174
1503960366,3/31/2016,12256,1889,7.860000134,7.860000134,0,2.289999962,0.4900000095,5.039999962,0,33,12,239,820
1503960366,4/1/2016,12262,1868,7.869999886,7.869999886,0,3.319999933,0.8299999833,3.640000105,0,47,21,200,866
1503960366,4/2/2016,11248,1843,7.25,7.25,0,3,0.4499999881,3.74000001,0,40,11,244,636
1503960366,4/3/2016,10016,1850,6.369999886,6.369999886,0,0.9100000262,1.279999971,4.179999828,0,15,30,314,655
1503960366,4/4/2016,14557,2030,9.800000191,9.800000191,0,3.390000105,0.6999999881,5.690000057,0,43,18,285,757
1503960366,4/5/2016,14844,2083,9.729999542,9.729999542,0,2.940000057,0.7599999905,6.039999962,0,36,18,341,736
1503960366,4/6/2016,11974,1861,7.670000076,7.670000076,0,2.039999962,0.4799999893,5.150000095,0,27,12,228,1173
1503960366,4/7/2016,10198,1755,6.440000057,6.440000057,0,1.200000048,0.7900000215,4.449999809,0,17,20,195,1208
1503960366,4/8/2016,12521,1895,7.940000057,7.940000057,0,3.309999943,0.8999999762,3.74000001,0,46,22,212,1160
1503960366,4/9/2016,12432,1883,8.100000381,8.100000381,0,2.589999914,0.5899999738,4.920000076,0,32,15,248,738
1503960366,4/10/2016,10057,1755,6.980000019,6.980000019,0,4,0.4900000095,2.480000019,0,44,13,168,737
